title,url,,,,,,,,,
"University of the Cordilleras students develop smart trash bins, waste management software for Baguio City",https://www.gmanetwork.com/news/scitech/technology/913217/university-of-the-cordilleras-students-develop-smart-trash-bins-waste-management-software-for-baguio-c/story/,,,,,,,,,
Baguio City aims to Transform to a “Smart City” by 2027 - HERALD EXPRESS | News in Cordillera and Northern Luzon,https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/,,,,,,,,,
"Visit to the Smart Greenhouse Project at the DA-BPI in Baguio City (January 26, 2024)",https://www.da.gov.ph/gallery/visit-to-the-smart-greenhouse-project-at-the-da-bpi-in-baguio-city-january-26-2024/,,,,,,,,,
Baguio accelerates smart city status thru Bitskwela’s Bull or Bear Web3 Debate,https://www.sunstar.com.ph/baguio/baguio-accelerates-smart-city-status-thru-bitskwelas-bull-or-bear-web3-debate,,,,,,,,,
Baguio eyes congestion fee within central business district,https://www.pna.gov.ph/articles/1226493,,,,,,,,,
Baguio’s Smart City Command Center has unpaid electric bills,https://tribune.net.ph/2024/01/07/baguios-smart-city-command-center-has-unpaid-electric-bills,,,,,,,,,
Smart City Command Center to improve services in Baguio,https://www.pna.gov.ph/articles/1153128,,,,,,,,,
Baguio makes ‘Smart City’ vision come true with new command center,https://interaksyon.philstar.com/trends-spotlights/2023/07/29/256638/baguio-smart-city-command-center/,,,,,,,,,
"Big-ticket road, transport systems eyed in Baguio",https://newsinfo.inquirer.net/1841745/big-ticket-road-transport-systems-eyed-in-baguio,,,,,,,,,
Baguio police gets 'smart' communication units,https://www.pna.gov.ph/articles/1185389,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,https://savesubs.com/process?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D53Q93dUEQjg